train/explained_variance,train/n_updates,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,train/std,train/entropy_loss,train/policy_loss,time/fps,rollout/ep_len_mean,time/total_timesteps,train/value_loss,time/iterations,eval/mean_reward,eval/mean_ep_length
-0.6074457168579102,99098,248.53324181999997,0.0005,5,0.612998366355896,-1.8572295904159546,13.41821002960205,84,53.25,495500,220.240478515625,100,,
-7.397130012512207,99198,251.90468909000003,0.0005,9,0.6193642020225525,-1.8777132034301758,23.168460845947266,108,53.67,496000,243.29629516601562,200,,
-0.14333736896514893,99298,251.44318160000003,0.0005,12,0.6231400966644287,-1.886301040649414,9.049705505371094,118,54.05,496500,21.2544002532959,300,,
-61.22071838378906,99398,230.44461373,0.0005,16,0.6227062940597534,-1.8874210119247437,1.1492873430252075,121,52.0,497000,25.981637954711914,400,,
-2.0502519607543945,99498,206.52262487,0.0005,20,0.6219037175178528,-1.8858124017715454,0.7688739895820618,124,48.87,497500,19.764265060424805,500,,
0.5244004726409912,99598,187.76871239,0.0005,23,0.6216427087783813,-1.8840821981430054,-3.147805690765381,126,46.75,498000,6.023209571838379,600,,
0.3628687262535095,99698,165.29707775999998,0.0005,27,0.6206352710723877,-1.8812048435211182,-4.181727886199951,126,44.21,498500,8.97966480255127,700,,
-0.5716620683670044,99798,129.81189387999999,0.0005,31,0.6198269128799438,-1.8784099817276,-3.5772972106933594,125,39.73,499000,7.067213535308838,800,,
0.8038954734802246,99898,99.62418364000001,0.0005,36,0.6211006045341492,-1.8816622495651245,5.4472246170043945,124,36.58,499500,3.9054107666015625,900,,
0.6889976859092712,99998,,0.0005,,0.6247670650482178,-1.8927717208862305,15.059346199035645,,,500000,53.67876052856445,,159.67235799999997,46.0
,,95.14564097,,41,,,,121,36.02,500000,,1000,,
0.011655688285827637,100098,95.79850196999998,0.0005,44,0.6232903599739075,-1.8892229795455933,10.545426368713379,123,36.26,500500,72.81871795654297,1100,,
0.12448829412460327,100198,110.34553646999998,0.0005,48,0.6256427764892578,-1.8960466384887695,11.603700637817383,124,38.03,501000,70.07317352294922,1200,,
0.3992261290550232,100298,123.29226110999997,0.0005,51,0.6249917149543762,-1.8937515020370483,-53.00551223754883,126,39.92,501500,1203.5765380859375,1300,,
0.9562997221946716,100398,138.77208112,0.0005,54,0.625516414642334,-1.895572304725647,-2.300854444503784,127,41.95,502000,2.764833927154541,1400,,
-1.0833280086517334,100498,154.43762378,0.0005,58,0.6262013912200928,-1.8980801105499268,-2.6800153255462646,128,43.88,502500,9.384121894836426,1500,,
