#{"t_start": 1776946536.5769904, "env_id": "None"}
r,l,t
62.170144,31,2383.300342
-43.257936,14,2384.047503
-42.976009,301,2398.887813
-29.590336,16,2399.770511
-38.781338,301,2414.665804
-24.65652,11,2415.289853
-20.20155,383,2434.060032
-47.279649,302,2448.881003
-39.262236,308,2464.013619
-37.132047,101,2469.203718
-39.211892,198,2479.239666
-25.708229,307,2494.699166
136.15967,88,2499.040797
-28.718929,13,2499.751796
-3.949756,14,2500.523021
-26.634957,13,2501.298828
-22.984145,302,2521.016165
-2.514456,307,2536.062069
-33.984506,301,2550.811859
-26.42041,306,2565.879904
-27.223785,17,2566.769765
-30.335905,303,2581.408788
-40.956976,226,2592.518801
-32.527787,19,2593.532023
-22.891776,11,2594.168113
-16.675718,46,2596.48117
-46.866337,301,2611.412519
-36.04284,302,2626.316773
-31.563648,301,2641.131931
-46.920956,309,2656.472257
-26.85491,347,2673.560281
98.970822,380,2692.577597
-29.524301,301,2707.584646
-80.338977,280,2720.908404
-42.573436,301,2735.746157
-5.245104,16,2736.623158
-29.463659,301,2751.444109
-45.779708,301,2773.534622
7.645864,17,2774.433621
-32.026423,301,2789.503143
-33.643326,443,2811.404866
9.006439,17,2812.319391
-1.964527,18,2813.267565
-86.593407,418,2833.756188
-34.306125,366,2851.701314
-2.18239,424,2872.4114
-36.128915,301,2887.34252
-22.449812,312,2902.692348
15.754521,313,2918.275647
-29.386211,302,2933.118864
-40.374133,301,2948.276139
-31.103904,301,2963.054488
-33.710007,303,2978.13781
-58.769047,267,2991.410487
-49.730727,67,2994.808436
-51.137704,301,3009.641553
-33.396782,64,3021.338402
-30.581603,304,3036.344465
-36.027104,308,3051.527175
-4.24797,397,3070.913358
-34.749323,415,3091.175291
-40.342069,402,3110.885186
-17.641388,303,3125.575411
-49.00416,559,3152.690126
27.88081,23,3153.889316
-49.064237,289,3168.042233
-31.965922,301,3182.970664
-21.193849,303,3197.810684
6.798876,34,3199.557499
-32.751577,83,3203.620332
-34.086285,302,3218.74731
91.662963,110,3224.263303
-34.257387,301,3239.03754
-26.579778,14,3239.797981
-27.137738,301,3254.491638
-31.50349,301,3277.397542
-44.399166,301,3292.0152
-12.639653,17,3292.921116
-0.346458,456,3315.443122
-24.014727,304,3330.301676
-35.315828,355,3347.709545
-18.174806,302,3362.470354
-23.38748,302,3377.319027
-26.349983,302,3392.181495
-45.254671,301,3407.082585
-33.052272,301,3422.103073
-23.04602,13,3422.831857
-6.390206,314,3438.3246
-45.470134,476,3462.091352
-40.955911,301,3476.964426
-30.803976,302,3492.086665
-38.771643,302,3507.193879
-22.622458,335,3528.745651
-30.975357,302,3543.573322
19.53928,196,3553.269488
-34.457778,301,3568.007153
-50.701407,301,3582.844793
-30.230255,301,3597.663048
70.921789,258,3610.424099
-26.862701,306,3625.597348
-23.484639,302,3640.810913
-41.420709,302,3656.046743
45.849861,20,3657.131263
8.889916,313,3672.702225
-43.480867,301,3687.861336
-35.08445,301,3702.527132
-23.397807,305,3717.592587
-24.830967,14,3718.37309
-35.707517,341,3735.256665
-39.882254,11,3735.851388
2.363008,335,3752.381058
-39.790691,301,3767.22281
-34.336635,301,3789.277569
-44.558924,301,3804.280542
-26.674566,13,3804.954348
-13.753216,63,3807.981051
-27.671447,302,3822.518266
-1.109541,15,3823.312186
-11.462043,307,3838.074596
-27.052749,302,3852.709957
-25.80131,304,3867.674724
-29.423758,303,3882.378981
-47.152415,323,3898.103637
-14.667714,414,3918.718649
-11.862421,305,3933.132526
-36.592599,98,3937.999246
-30.114294,304,3953.047302
-39.280996,78,3957.029456
-57.996285,302,3972.185413
-44.076061,301,3987.611437
-12.357318,43,3989.916016
-45.211476,301,4005.20165
-0.972114,313,4020.34206
-29.440117,301,4040.660034
-25.206535,302,4054.724758
-51.522859,405,4074.278462
-35.185063,16,4075.16194
-45.220131,301,4089.55785
-30.078716,301,4103.639842
-55.169834,38,4105.564761
-40.049625,302,4119.81033
-52.616265,301,4134.000089
-80.709297,139,4140.512049
-47.676118,301,4154.836543
-26.468523,341,4171.59184
-36.256284,301,4186.120901
-35.28671,302,4200.216538
-22.612872,303,4214.596644
-24.546568,302,4228.613672
-52.095891,301,4243.040333
-46.536002,301,4257.85523
-46.432728,105,4262.975818
-26.359747,20,4264.034742
-74.410412,38,4265.928543
-26.961439,302,4288.84582
-42.875584,301,4303.685392
-46.412711,301,4318.109385
-5.229312,309,4333.369132
-39.129251,301,4348.497735
-24.540103,13,4349.228056
-24.486524,302,4363.941537
-31.68363,17,4364.820737
-46.301077,301,4378.902314
-14.224858,309,4393.436687
-50.21703,301,4408.265855
-30.882479,301,4423.385856
-25.054233,304,4438.496815
-44.342874,301,4453.434041
-42.188028,301,4468.743231
-31.254513,376,4487.778738
-27.502579,302,4502.96917
-27.652179,302,4517.897739
-39.540539,301,4541.065494
-26.664744,12,4541.745786
-35.188129,301,4556.318421
-37.824079,305,4571.333779
-24.238912,302,4586.032227
-45.702964,301,4600.694706
-29.354643,302,4615.335332
9.63091,315,4630.676275
-45.074434,301,4645.551728
-38.400622,305,4660.440156
-34.039257,301,4675.207383
-37.30741,301,4689.700595
-35.116882,333,4706.064154
25.472916,16,4706.95262
-36.30838,347,4723.83546
3.464864,317,4738.838472
-37.861873,303,4753.334797
0.385068,313,4768.239088
-34.884235,302,4790.511816
-43.437091,512,4816.158568
-9.348789,24,4817.415997
-37.909531,301,4832.481183
-38.298203,61,4835.558939
-52.519781,301,4850.710709
-53.138665,474,4874.163019
-34.362901,302,4888.447904
-33.214172,302,4903.086617
-26.265303,303,4918.059988
-35.279205,30,4919.672777
-53.566923,301,4934.528545
-43.360113,301,4949.017937
-32.402483,301,4963.380566
-34.45139,303,4978.329592
-38.416192,301,4993.258804
-31.164917,301,5007.957104
-30.887576,307,5022.602122
