#{"t_start": 1776887679.3879743, "env_id": "None"}
r,l,t
-195.248623,78,310.044129
-5.600773,12,310.713235
2.230886,11,311.303999
55.086621,34,313.080234
18.820653,18,314.006373
8.70163,13,314.696894
25.821825,13,315.400426
-632.29522,31,316.917606
42.45372,15,317.719475
-2.533475,11,318.344763
14.606151,13,319.049514
12.40487,14,319.771839
12.27424,11,320.347024
44.897551,25,321.625639
58.259044,18,322.569435
64.3028,16,323.406706
-200.633603,19,324.398212
28.755983,14,325.125273
23.098552,14,325.862497
134.97014,32,327.481243
11.746292,11,328.08258
156.759888,30,329.65269
36.127064,21,330.778991
35.482443,16,331.588392
76.250814,24,332.817231
94.496962,21,333.976002
426.517118,60,336.945673
35.319895,18,337.947728
6.593343,13,338.645791
14.896772,14,339.389515
-450.841619,55,342.052009
41.069502,15,342.836277
-121.596145,17,343.705363
10.817623,16,344.541571
41.852864,14,345.324931
21.190912,19,346.316249
18.7397,13,347.006579
76.364357,20,348.021884
-1280.663007,455,369.765979
-6.017943,11,370.348033
19.480767,15,371.138385
-711.532694,87,375.465013
-0.668699,11,376.064634
9.530547,13,376.735316
-8.067945,12,377.401792
49.624943,19,378.40295
77.313537,28,379.825715
-99.655528,15,380.609447
13.607267,13,381.306577
30.584151,20,382.394118
-2392.059695,182,391.247839
27.915808,14,391.982116
20.607388,12,392.620292
-125.153145,68,396.056863
63.305449,17,396.979283
20.813272,35,398.832138
11.650356,13,399.542424
-3.889387,15,400.348908
94.907639,21,401.489481
-8.231635,12,402.152488
18.365607,13,402.866278
40.220393,14,403.632629
-0.188678,13,404.37305
44.058987,16,405.272188
-101.453467,48,407.713746
15.141678,15,408.529429
25.539699,15,409.324754
35.536047,15,410.164133
13.638233,13,410.895557
49.969406,17,411.795873
-625.589909,60,414.811242
6.217785,12,415.507175
-220.130139,26,416.920034
37.441608,18,417.893852
41.752228,15,418.732102
6.234033,12,419.400071
-230.247285,22,420.521204
78.521256,24,421.803795
-8.597713,48,424.239378
187.547627,33,426.094919
-173.230847,66,429.919023
-493.15778,95,434.90514
9.694823,53,437.976427
-121.539674,21,439.237384
18.539454,14,440.104579
58.596382,25,441.562799
16.402057,13,442.302314
48.437473,15,443.102279
-119.924248,120,449.403097
26.506609,14,450.258824
17.522459,13,451.059768
-162.83447,21,452.185061
-1085.708987,103,457.479401
4.480391,12,458.177919
0.14242,53,460.948676
-116.966293,28,462.450779
35.103467,14,463.225692
45.066188,56,466.142896
17.025639,15,467.024165
69.136467,24,468.256423
-1140.44755,160,476.596586
47.037156,18,477.693986
-1791.763933,241,492.505786
19.427991,12,493.335197
-622.572965,48,496.242642
25.133282,16,497.271806
35.360234,17,498.194669
46.550914,16,499.031664
2.994885,15,499.967443
2.197417,18,500.998229
38.404284,21,502.149127
212.175205,64,505.301006
18.375556,15,506.103359
19.446628,14,506.880485
191.52819,34,508.633767
15.766082,13,509.32191
59.551949,21,510.407894
9.178587,13,511.123238
-38.176083,29,512.629754
-0.917421,13,513.362673
10.085284,13,514.210086
10.971798,13,514.9189
71.891304,24,516.178678
-75.090046,71,519.685512
19.803147,13,520.394273
