#{"t_start": 1776865388.9570847, "env_id": "None"}
r,l,t
23.995631,14,268.01514
6.186973,11,268.512087
18.736709,13,269.095466
37.559044,14,269.74396
25.216665,13,270.322344
17.02963,12,270.906475
16.716621,13,271.540767
21.773193,14,272.173089
19.818113,13,272.776195
14.99912,11,273.270843
20.996255,14,273.911878
18.931598,15,274.593261
21.299721,12,275.148867
36.439892,14,275.756438
19.385841,12,276.29722
18.632957,13,276.874373
5.939096,11,277.368772
43.209396,16,278.067478
49.265406,17,278.799066
17.28007,12,279.328557
19.013629,12,279.867961
19.939417,14,280.499698
38.374707,14,281.1132
20.424434,13,281.704105
17.186776,12,282.230376
31.716547,13,282.789103
43.766741,15,283.469267
7.60659,11,283.943316
19.406028,12,284.476293
16.895267,12,285.004934
38.015623,14,285.621168
34.932623,13,286.18373
11.781714,11,286.665371
21.983048,12,287.181104
21.34514,13,287.775613
17.394119,12,288.326385
7.892409,11,288.824675
18.637425,12,289.373719
20.023746,12,289.927423
10.510909,11,290.434668
1.466366,12,291.016652
16.09183,11,291.510874
4.487623,11,292.021321
15.855315,11,292.533442
24.366291,13,293.125663
17.68919,12,293.681334
3.622378,11,294.185049
17.992413,12,294.733716
37.221108,13,295.34398
13.107918,11,295.842932
3.754731,11,296.362671
19.371062,12,296.894399
4.60768,11,297.41454
19.929679,12,297.97172
25.661495,12,298.538089
0.077072,10,299.016335
3.319359,11,299.519796
5.581627,12,300.065692
7.650288,11,300.570439
6.092449,11,301.080303
14.470982,11,301.604578
17.642375,12,302.159608
26.320177,13,302.768775
17.324355,12,303.318937
45.740341,14,303.955394
15.531537,12,304.51726
15.890184,12,305.066857
34.422237,13,305.672225
4.348408,11,306.18267
35.884598,13,306.81902
33.123172,13,307.419736
17.81359,12,307.943507
12.623443,11,308.42204
16.915745,12,308.935621
19.926974,12,309.490966
7.229537,11,309.97481
18.415872,12,310.5035
18.898256,12,311.03225
27.98095,13,311.622898
16.752837,12,312.173308
14.43886,11,312.667056
15.727233,12,313.198524
14.303359,11,313.689755
16.321068,12,314.227316
16.706585,12,314.788832
15.454958,11,315.311319
15.96408,12,315.861316
6.956191,11,316.346839
18.097953,12,316.850103
16.670244,12,317.380762
43.559325,14,317.977006
16.076838,12,318.531367
23.342112,12,319.07788
22.205746,12,319.633911
17.895181,12,320.158952
2.928422,11,320.634856
22.532872,12,321.154777
6.467568,11,321.644503
16.788082,12,322.173671
24.348036,13,322.731624
3.749372,11,323.257419
8.154667,12,323.808257
12.388662,11,324.293308
16.458849,12,324.828455
16.108883,12,325.392413
3.372187,11,325.869194
18.977539,12,326.395723
16.714684,12,326.918643
22.258879,12,327.456171
3.735091,11,327.932631
18.437094,12,328.49788
14.63668,12,329.044522
15.049464,12,329.561503
12.330822,11,330.031853
25.549818,13,330.624869
5.658772,11,331.114701
27.460631,13,331.700666
4.126407,11,332.18452
16.829059,12,332.708994
25.908722,13,333.286339
20.35583,12,333.846861
5.614682,11,334.336928
37.999405,13,334.900526
20.384481,12,335.443516
20.467291,12,336.016258
16.950519,12,336.59136
17.80894,12,337.139197
12.343282,11,337.653803
16.533484,12,338.187945
14.987391,11,338.704992
15.803549,12,339.226073
24.45321,13,339.811277
28.141186,14,340.440134
14.441684,11,340.914099
13.193001,11,341.410059
0.860564,10,341.877507
14.029148,11,342.370953
7.238078,11,342.855435
7.006261,11,343.358116
24.593584,13,344.098401
34.192647,13,344.696074
14.980277,12,345.286143
15.701797,12,345.857676
57.995389,16,346.584363
8.127595,12,347.106069
27.254251,13,347.679378
21.076285,12,348.233908
18.90487,12,348.793257
5.866975,11,349.476479
11.479283,11,349.979557
17.013911,12,350.494323
22.544238,12,351.018456
8.682429,11,351.550271
25.193699,13,352.130511
11.862074,11,352.619173
20.754981,12,353.144054
22.053974,12,353.679973
24.996416,13,354.240957
17.124335,12,354.770392
36.993155,13,355.352659
17.22082,12,355.86058
26.151972,13,356.431645
37.357153,13,356.979444
16.58926,12,357.522782
58.445702,15,358.177165
35.886383,13,358.774463
18.195117,12,359.295276
43.165687,15,359.947052
14.160512,11,360.420995
16.640703,11,360.897926
15.946932,12,361.456957
15.164385,12,361.974309
17.953638,12,362.514868
14.496779,12,363.044586
15.08778,11,363.531981
5.902897,11,364.014535
14.74016,11,364.513412
17.829903,12,365.074845
41.166119,14,365.696993
19.529972,12,366.21655
4.914373,11,366.713577
13.363634,12,367.247261
13.941363,11,367.721545
11.34501,11,368.212997
21.286822,12,368.750746
37.712944,13,369.312067
0.918164,10,369.738488
7.020427,11,370.220305
35.158913,13,370.807048
32.919459,13,371.384895
36.510169,13,371.936908
14.401437,11,372.438938
17.293022,12,373.017145
20.622188,12,373.552829
17.714403,12,374.070494
23.259823,12,374.589515
15.265999,11,375.059981
7.105416,11,375.578887
19.170198,11,376.070173
19.778629,12,376.592911
36.006012,13,377.167021
12.568259,11,377.653647
12.785889,11,378.173174
15.302694,11,378.675851
38.020775,13,379.236519
18.531068,12,379.757532
16.239407,12,380.307512
21.517106,13,380.86447
36.082548,13,381.436456
7.052572,11,381.933417
37.550298,14,382.568426
15.262197,11,383.061726
24.059807,13,383.637245
24.772926,13,384.219102
19.859217,12,384.745774
20.95843,13,385.341718
15.294008,11,385.864791
17.152528,12,386.393333
22.064684,12,386.959269
19.629924,12,387.541947
16.033966,12,388.057235
12.579773,11,388.565434
21.450969,12,389.127347
13.741487,11,389.647184
12.302717,11,390.137165
25.369209,13,390.769457
17.217523,11,391.294778
20.167934,13,391.887968
20.936166,12,392.441702
19.110367,12,392.978683
15.39364,12,393.524933
18.979765,12,394.085759
13.024401,11,394.556496
12.651055,11,395.043158
27.00474,13,395.653345
41.085132,14,396.259174
20.782504,12,396.785555
16.881084,12,397.310521
6.749364,11,397.787144
27.489003,13,398.374197
35.21049,14,398.980427
17.473336,11,399.474271
19.926137,13,400.04634
